,Site,Measurement,DateTime,Value,detection limit,censored
3503,SQ34866,Black Disc Clarity,2019-04-17 10:34:00,8.89,3.5,>
3504,SQ34866,Black Disc Clarity,2019-05-15 15:30:00,5.07,3.5,>
3505,SQ34866,Black Disc Clarity,2019-06-12 10:16:00,3.61,3.5,>
3508,SQ34866,Black Disc Clarity,2019-09-11 11:39:00,3.7,3.5,>
3511,SQ34869,Black Disc Clarity,2013-04-30 12:49:00,2.26,1.3,>
3519,SQ34869,Black Disc Clarity,2014-02-25 13:18:00,4.97,1.3,>
3523,SQ34869,Black Disc Clarity,2014-07-29 11:47:00,3.05,1.3,>
3524,SQ34869,Black Disc Clarity,2014-08-27 13:56:00,2.56,1.3,>
3525,SQ34869,Black Disc Clarity,2014-09-25 12:52:00,2.98,1.3,>
3526,SQ34869,Black Disc Clarity,2014-10-28 12:07:00,1.4,1.3,>
3527,SQ34869,Black Disc Clarity,2014-11-25 10:15:00,5.02,1.3,>
3528,SQ34869,Black Disc Clarity,2014-12-22 09:38:00,3.96,1.3,>
3529,SQ34869,Black Disc Clarity,2015-01-27 11:43:00,2.17,1.3,>
3530,SQ34869,Black Disc Clarity,2015-02-25 07:45:00,2.12,1.3,>
3533,SQ34869,Black Disc Clarity,2015-05-27 12:15:00,2.4,1.3,>
3539,SQ34869,Black Disc Clarity,2015-11-30 12:20:00,1.96,1.3,>
3540,SQ34869,Black Disc Clarity,2015-12-21 08:04:00,2.77,1.3,>
3542,SQ34869,Black Disc Clarity,2016-02-22 10:26:00,4.3,1.3,>
3543,SQ34869,Black Disc Clarity,2016-03-23 11:25:00,4.15,1.3,>
3544,SQ34869,Black Disc Clarity,2016-04-21 10:25:00,6.76,1.3,>
3545,SQ34869,Black Disc Clarity,2016-05-19 11:01:00,5.45,1.3,>
3546,SQ34869,Black Disc Clarity,2016-06-21 10:20:00,4.9,1.3,>
3547,SQ34869,Black Disc Clarity,2016-07-20 10:59:00,2.46,1.3,>
3548,SQ34869,Black Disc Clarity,2016-08-24 10:54:00,2.11,1.3,>
3549,SQ34869,Black Disc Clarity,2016-09-22 10:51:00,2.13,1.3,>
3550,SQ34869,Black Disc Clarity,2016-10-20 09:46:00,1.58,1.3,>
3554,SQ34869,Black Disc Clarity,2017-02-21 10:27:00,2.7,1.3,>
3555,SQ34869,Black Disc Clarity,2017-03-22 10:10:00,1.88,1.3,>
3562,SQ34869,Black Disc Clarity,2017-11-21 11:28:00,2.97,1.3,>
3563,SQ34869,Black Disc Clarity,2017-12-19 10:56:00,3.98,1.3,>
3564,SQ34869,Black Disc Clarity,2018-02-19 10:56:00,2.98,1.3,>
3571,SQ34869,Black Disc Clarity,2018-10-25 09:36:00,2.29,1.3,>
3574,SQ34869,Black Disc Clarity,2019-01-23 09:20:00,1.95,1.3,>
3575,SQ34869,Black Disc Clarity,2019-02-18 10:22:00,3.52,1.3,>
3576,SQ34869,Black Disc Clarity,2019-03-21 09:33:00,3.15,1.3,>
3578,SQ34869,Black Disc Clarity,2019-05-22 12:02:00,2.5,1.3,>
3579,SQ34869,Black Disc Clarity,2019-06-19 10:35:00,1.53,1.3,>
3583,SQ34869,Black Disc Clarity,2019-10-30 10:13:00,1.59,1.3,>
3584,SQ34869,Black Disc Clarity,2019-12-17 09:45:00,3.52,1.3,>
3585,SQ34905,Black Disc Clarity,2013-05-02 11:55:00,1.2,1.0,>
3588,SQ34905,Black Disc Clarity,2014-02-05 10:53:00,1.32,1.0,>
3591,SQ34905,Black Disc Clarity,2014-11-06 10:25:00,1.07,1.0,>
3594,SQ34905,Black Disc Clarity,2015-11-04 11:23:00,1.17,1.0,>
3595,SQ34905,Black Disc Clarity,2016-02-10 12:27:00,1.13,1.0,>
3596,SQ34905,Black Disc Clarity,2016-05-12 13:32:00,1.4,1.0,>
3598,SQ34905,Black Disc Clarity,2017-05-10 11:56:00,1.25,1.0,>
3600,SQ34905,Black Disc Clarity,2018-05-11 10:40:00,1.09,1.0,>
3602,SQ34905,Black Disc Clarity,2018-11-06 12:48:00,1.23,1.0,>
3604,SQ34905,Black Disc Clarity,2019-11-04 12:18:00,1.19,1.0,>
3605,SQ35080,Black Disc Clarity,2013-04-09 11:40:00,6.1,1.5,>
3608,SQ35080,Black Disc Clarity,2014-01-14 13:57:00,2.2,1.5,>
3610,SQ35080,Black Disc Clarity,2014-07-10 14:48:00,1.52,1.5,>
3611,SQ35080,Black Disc Clarity,2014-10-23 14:30:00,1.95,1.5,>
3612,SQ35080,Black Disc Clarity,2015-01-21 13:00:00,4.21,1.5,>
3613,SQ35080,Black Disc Clarity,2015-07-22 14:35:00,1.95,1.5,>
3614,SQ35080,Black Disc Clarity,2015-10-22 13:29:00,2.97,1.5,>
3619,SQ35080,Black Disc Clarity,2017-07-20 14:01:00,2.94,1.5,>
3621,SQ35080,Black Disc Clarity,2018-01-24 13:12:00,2.05,1.5,>
3622,SQ35080,Black Disc Clarity,2018-04-26 16:17:00,1.69,1.5,>
3625,SQ35080,Black Disc Clarity,2019-01-31 15:54:00,3.22,1.5,>
3629,SQ35119,Black Disc Clarity,2013-04-22 10:46:00,6.06,4.85,>
3632,SQ35119,Black Disc Clarity,2013-07-22 09:36:00,5.1,4.85,>
3633,SQ35119,Black Disc Clarity,2013-08-27 09:45:00,7.65,4.85,>
3637,SQ35119,Black Disc Clarity,2013-12-16 12:15:00,5.65,4.85,>
3638,SQ35119,Black Disc Clarity,2014-01-20 08:40:00,5.7,4.85,>
3639,SQ35119,Black Disc Clarity,2014-02-18 09:15:00,8.3,4.85,>
3640,SQ35119,Black Disc Clarity,2014-03-18 09:20:00,5.67,4.85,>
3642,SQ35119,Black Disc Clarity,2014-05-19 10:35:00,7.03,4.85,>
3643,SQ35119,Black Disc Clarity,2014-06-09 10:15:00,5.75,4.85,>
3644,SQ35119,Black Disc Clarity,2014-07-17 12:12:00,5.36,4.85,>
3645,SQ35119,Black Disc Clarity,2014-08-18 13:32:00,5.23,4.85,>
3646,SQ35119,Black Disc Clarity,2014-10-21 09:41:00,5.0,4.85,>
3648,SQ35119,Black Disc Clarity,2014-12-15 09:57:00,5.48,4.85,>
3649,SQ35119,Black Disc Clarity,2015-01-19 09:44:00,6.9,4.85,>
3650,SQ35119,Black Disc Clarity,2015-02-16 09:46:00,6.3,4.85,>
3654,SQ35119,Black Disc Clarity,2015-06-17 10:25:00,7.0,4.85,>
3655,SQ35119,Black Disc Clarity,2015-07-21 10:35:00,6.9,4.85,>
3656,SQ35119,Black Disc Clarity,2015-08-18 10:26:00,6.0,4.85,>
3657,SQ35119,Black Disc Clarity,2015-09-23 10:26:00,7.4,4.85,>
3658,SQ35119,Black Disc Clarity,2015-10-20 09:11:00,6.55,4.85,>
3659,SQ35119,Black Disc Clarity,2015-11-25 09:12:00,5.4,4.85,>
3660,SQ35119,Black Disc Clarity,2015-12-15 09:07:00,6.0,4.85,>
3661,SQ35119,Black Disc Clarity,2016-01-26 09:13:00,5.55,4.85,>
3664,SQ35119,Black Disc Clarity,2016-04-19 10:04:00,6.45,4.85,>
3666,SQ35119,Black Disc Clarity,2016-06-21 13:34:00,6.72,4.85,>
3667,SQ35119,Black Disc Clarity,2016-07-19 09:52:00,5.47,4.85,>
3668,SQ35119,Black Disc Clarity,2016-08-25 09:36:00,6.8,4.85,>
3669,SQ35119,Black Disc Clarity,2016-09-27 09:01:00,5.32,4.85,>
3670,SQ35119,Black Disc Clarity,2016-10-18 08:48:00,4.91,4.85,>
3672,SQ35119,Black Disc Clarity,2016-12-15 11:25:00,5.88,4.85,>
3674,SQ35119,Black Disc Clarity,2017-02-21 12:44:00,5.14,4.85,>
3675,SQ35119,Black Disc Clarity,2017-03-23 08:58:00,5.27,4.85,>
3677,SQ35119,Black Disc Clarity,2017-05-23 10:03:00,7.03,4.85,>
3678,SQ35119,Black Disc Clarity,2017-06-21 09:37:00,9.0,4.85,>
3688,SQ35119,Black Disc Clarity,2018-06-20 09:55:00,6.25,4.85,>
3689,SQ35119,Black Disc Clarity,2018-07-17 09:52:00,7.03,4.85,>
3690,SQ35119,Black Disc Clarity,2018-08-22 09:17:00,5.75,4.85,>
3692,SQ35119,Black Disc Clarity,2018-10-10 08:30:00,4.97,4.85,>
3695,SQ35119,Black Disc Clarity,2019-01-16 08:03:00,5.72,4.85,>
3696,SQ35119,Black Disc Clarity,2019-02-13 08:13:00,5.85,4.85,>
3697,SQ35119,Black Disc Clarity,2019-04-15 09:13:00,4.97,4.85,>
3698,SQ35119,Black Disc Clarity,2019-05-21 13:30:00,5.67,4.85,>
3699,SQ35119,Black Disc Clarity,2019-06-18 09:04:00,5.07,4.85,>
3702,SQ35119,Black Disc Clarity,2019-09-18 08:53:00,6.02,4.85,>
3706,SQ35157,Black Disc Clarity,2013-03-05 12:58:00,2.97,1.5,>
3707,SQ35157,Black Disc Clarity,2013-06-06 11:00:00,1.7,1.5,>
3709,SQ35157,Black Disc Clarity,2013-12-03 10:30:00,2.37,1.5,>
3710,SQ35157,Black Disc Clarity,2014-03-10 08:15:00,2.78,1.5,>
3711,SQ35157,Black Disc Clarity,2014-06-04 12:27:00,2.47,1.5,>
3712,SQ35157,Black Disc Clarity,2014-09-04 12:45:00,1.55,1.5,>
3714,SQ35157,Black Disc Clarity,2015-03-09 09:40:00,2.22,1.5,>
3715,SQ35157,Black Disc Clarity,2015-06-02 10:37:00,3.24,1.5,>
3717,SQ35157,Black Disc Clarity,2015-12-02 08:56:00,1.77,1.5,>
3718,SQ35157,Black Disc Clarity,2016-06-01 09:26:00,1.77,1.5,>
3720,SQ35157,Black Disc Clarity,2016-12-01 08:14:00,3.3,1.5,>
3721,SQ35157,Black Disc Clarity,2017-03-01 13:11:00,1.84,1.5,>
3722,SQ35157,Black Disc Clarity,2017-06-01 12:26:00,3.35,1.5,>
3724,SQ35157,Black Disc Clarity,2017-12-08 13:28:00,2.8,1.5,>
3725,SQ35157,Black Disc Clarity,2018-03-05 13:05:00,3.6,1.5,>
3728,SQ35157,Black Disc Clarity,2019-03-11 12:20:00,1.68,1.5,>
3731,SQ35157,Black Disc Clarity,2019-12-03 10:05:00,1.89,1.5,>
3733,SQ35173,Black Disc Clarity,2013-05-21 12:05:00,1.64,1.5,>
3734,SQ35173,Black Disc Clarity,2013-06-27 14:15:00,1.7,1.5,>
3735,SQ35173,Black Disc Clarity,2013-07-24 16:41:00,2.79,1.5,>
3736,SQ35173,Black Disc Clarity,2013-08-26 12:35:00,2.6,1.5,>
3737,SQ35173,Black Disc Clarity,2013-10-21 12:01:00,1.58,1.5,>
3740,SQ35173,Black Disc Clarity,2014-01-29 15:42:00,3.47,1.5,>
3741,SQ35173,Black Disc Clarity,2014-02-24 10:15:00,5.61,1.5,>
3742,SQ35173,Black Disc Clarity,2014-03-26 11:03:00,2.58,1.5,>
3745,SQ35173,Black Disc Clarity,2014-12-22 10:44:00,3.55,1.5,>
3746,SQ35173,Black Disc Clarity,2015-04-28 12:45:00,2.65,1.5,>
3747,SQ35173,Black Disc Clarity,2015-06-24 13:37:00,5.46,1.5,>
3749,SQ35173,Black Disc Clarity,2016-01-26 12:07:00,4.71,1.5,>
3750,SQ35173,Black Disc Clarity,2016-04-27 13:13:00,4.65,1.5,>
3751,SQ35173,Black Disc Clarity,2016-05-23 12:52:00,4.31,1.5,>
3753,SQ35173,Black Disc Clarity,2016-07-27 12:44:00,3.24,1.5,>
3754,SQ35173,Black Disc Clarity,2016-08-30 13:25:00,6.55,1.5,>
3755,SQ35173,Black Disc Clarity,2016-09-28 12:16:00,1.72,1.5,>
3756,SQ35173,Black Disc Clarity,2016-10-26 12:04:00,2.54,1.5,>
3757,SQ35173,Black Disc Clarity,2017-05-30 15:57:00,3.95,1.5,>
3760,SQ35173,Black Disc Clarity,2017-08-28 14:08:00,1.71,1.5,>
3763,SQ35173,Black Disc Clarity,2017-11-28 13:42:00,2.61,1.5,>
3764,SQ35173,Black Disc Clarity,2017-12-19 13:52:00,1.97,1.5,>
3765,SQ35173,Black Disc Clarity,2018-01-30 14:42:00,3.32,1.5,>
3767,SQ35173,Black Disc Clarity,2018-03-27 15:48:00,1.94,1.5,>
3768,SQ35173,Black Disc Clarity,2018-04-23 15:45:00,1.58,1.5,>
3769,SQ35173,Black Disc Clarity,2018-05-29 16:09:00,2.42,1.5,>
3770,SQ35173,Black Disc Clarity,2018-07-24 16:39:00,2.75,1.5,>
3771,SQ35173,Black Disc Clarity,2018-08-28 16:01:00,3.02,1.5,>
3772,SQ35173,Black Disc Clarity,2018-09-24 15:27:00,2.32,1.5,>
3775,SQ35173,Black Disc Clarity,2018-12-18 14:47:00,2.33,1.5,>
3776,SQ35173,Black Disc Clarity,2019-01-30 14:34:00,3.75,1.5,>
3778,SQ35173,Black Disc Clarity,2019-03-27 13:58:00,2.45,1.5,>
3779,SQ35173,Black Disc Clarity,2019-04-30 16:10:00,1.84,1.5,>
3780,SQ35173,Black Disc Clarity,2019-05-27 15:14:00,3.44,1.5,>
3781,SQ35173,Black Disc Clarity,2019-06-24 14:57:00,3.04,1.5,>
3783,SQ35173,Black Disc Clarity,2019-08-27 15:21:00,2.02,1.5,>
3784,SQ35173,Black Disc Clarity,2019-09-24 14:42:00,2.98,1.5,>
3786,SQ35173,Black Disc Clarity,2019-11-25 15:12:00,2.5,1.5,>
3787,SQ35173,Black Disc Clarity,2019-12-18 14:50:00,2.37,1.5,>
3793,SQ35236,Black Disc Clarity,2014-06-03 12:00:00,4.61,3.0,>
3796,SQ35236,Black Disc Clarity,2015-03-10 08:28:00,3.33,3.0,>
3798,SQ35236,Black Disc Clarity,2015-09-04 11:54:00,3.45,3.0,>
3800,SQ35236,Black Disc Clarity,2016-09-07 08:45:00,3.22,3.0,>
3801,SQ35236,Black Disc Clarity,2016-12-01 08:07:00,3.88,3.0,>
3809,SQ35236,Black Disc Clarity,2019-03-05 11:00:00,3.24,3.0,>
3814,SQ35792,Black Disc Clarity,2013-08-28 11:56:00,1.85,1.5,>
3819,SQ35792,Black Disc Clarity,2014-02-19 08:05:00,1.69,1.5,>
3822,SQ35792,Black Disc Clarity,2014-05-20 09:30:00,1.54,1.5,>
3828,SQ35792,Black Disc Clarity,2014-12-16 08:31:00,1.52,1.5,>
3829,SQ35792,Black Disc Clarity,2015-01-21 08:34:00,1.85,1.5,>
3830,SQ35792,Black Disc Clarity,2015-02-17 09:05:00,1.68,1.5,>
3831,SQ35792,Black Disc Clarity,2015-03-19 08:30:00,1.68,1.5,>
3832,SQ35792,Black Disc Clarity,2015-04-15 09:18:00,1.53,1.5,>
3835,SQ35792,Black Disc Clarity,2015-07-23 09:00:00,2.5,1.5,>
3837,SQ35792,Black Disc Clarity,2015-09-24 09:22:00,1.58,1.5,>
3839,SQ35792,Black Disc Clarity,2015-11-26 08:17:00,1.62,1.5,>
3840,SQ35792,Black Disc Clarity,2015-12-16 08:12:00,2.33,1.5,>
3841,SQ35792,Black Disc Clarity,2016-01-27 12:15:00,1.87,1.5,>
3846,SQ35792,Black Disc Clarity,2016-07-20 08:21:00,1.57,1.5,>
3848,SQ35792,Black Disc Clarity,2016-09-28 08:13:00,1.6,1.5,>
3851,SQ35792,Black Disc Clarity,2016-12-16 08:11:00,2.25,1.5,>
3852,SQ35792,Black Disc Clarity,2017-01-25 07:23:00,1.7,1.5,>
3853,SQ35792,Black Disc Clarity,2017-02-22 08:00:00,1.9,1.5,>
3854,SQ35792,Black Disc Clarity,2017-03-24 08:04:00,1.71,1.5,>
3855,SQ35792,Black Disc Clarity,2017-04-20 08:15:00,1.84,1.5,>
3856,SQ35792,Black Disc Clarity,2017-05-24 08:59:00,2.6,1.5,>
3857,SQ35792,Black Disc Clarity,2017-06-22 08:54:00,2.4,1.5,>
3858,SQ35792,Black Disc Clarity,2017-09-20 08:48:00,1.7,1.5,>
3860,SQ35792,Black Disc Clarity,2017-12-15 07:09:00,1.51,1.5,>
3863,SQ35792,Black Disc Clarity,2018-03-21 07:30:00,1.53,1.5,>
3866,SQ35792,Black Disc Clarity,2018-06-21 08:19:00,1.97,1.5,>
3867,SQ35792,Black Disc Clarity,2018-08-23 09:00:00,1.74,1.5,>
3878,SQ35792,Black Disc Clarity,2019-08-23 08:18:00,1.69,1.5,>
3960,SQ35818,Black Disc Clarity,2013-04-30 10:28:00,5.45,1.5,>
3961,SQ35818,Black Disc Clarity,2013-05-21 12:04:00,4.72,1.5,>
3963,SQ35818,Black Disc Clarity,2014-01-28 10:10:00,5.85,1.5,>
3965,SQ35818,Black Disc Clarity,2014-07-29 09:33:00,7.25,1.5,>
3966,SQ35818,Black Disc Clarity,2014-10-28 10:09:00,4.25,1.5,>
3967,SQ35818,Black Disc Clarity,2015-01-27 09:22:00,3.16,1.5,>
3968,SQ35818,Black Disc Clarity,2015-04-21 09:47:00,2.35,1.5,>
3969,SQ35818,Black Disc Clarity,2015-07-30 11:31:00,2.15,1.5,>
3970,SQ35818,Black Disc Clarity,2015-10-30 09:53:00,4.84,1.5,>
3971,SQ35818,Black Disc Clarity,2016-01-29 09:36:00,4.17,1.5,>
3972,SQ35818,Black Disc Clarity,2016-04-21 10:50:00,7.0,1.5,>
3974,SQ35818,Black Disc Clarity,2016-10-20 10:01:00,4.41,1.5,>
3977,SQ35818,Black Disc Clarity,2017-07-18 11:48:00,2.28,1.5,>
3978,SQ35818,Black Disc Clarity,2017-10-16 10:00:00,1.62,1.5,>
3979,SQ35818,Black Disc Clarity,2018-01-25 10:22:00,3.86,1.5,>
3980,SQ35818,Black Disc Clarity,2018-07-19 11:30:00,2.3,1.5,>
3981,SQ35818,Black Disc Clarity,2018-10-25 11:20:00,3.34,1.5,>
3982,SQ35818,Black Disc Clarity,2019-01-23 09:29:00,7.17,1.5,>
3983,SQ35818,Black Disc Clarity,2019-04-18 11:40:00,6.55,1.5,>
3984,SQ35818,Black Disc Clarity,2019-10-30 11:39:00,2.97,1.5,>
4061,SQ35872,Black Disc Clarity,2013-05-23 12:02:00,8.37,8.0,>
4068,SQ35872,Black Disc Clarity,2013-12-19 08:36:00,10.41,8.0,>
4069,SQ35872,Black Disc Clarity,2014-02-25 08:36:00,11.17,8.0,>
4070,SQ35872,Black Disc Clarity,2014-03-26 07:50:00,9.96,8.0,>
4074,SQ35872,Black Disc Clarity,2014-07-24 10:55:00,8.56,8.0,>
4080,SQ35872,Black Disc Clarity,2015-01-14 09:27:00,10.04,8.0,>
4081,SQ35872,Black Disc Clarity,2015-02-11 08:44:00,8.98,8.0,>
4090,SQ35872,Black Disc Clarity,2015-11-11 08:03:00,9.92,8.0,>
4092,SQ35872,Black Disc Clarity,2016-01-13 08:35:00,12.27,8.0,>
4093,SQ35872,Black Disc Clarity,2016-02-17 08:54:00,10.99,8.0,>
4095,SQ35872,Black Disc Clarity,2016-04-13 10:59:00,11.74,8.0,>
4096,SQ35872,Black Disc Clarity,2016-05-11 09:49:00,11.42,8.0,>
4097,SQ35872,Black Disc Clarity,2016-06-15 10:12:00,8.17,8.0,>
4098,SQ35872,Black Disc Clarity,2016-07-13 09:29:00,9.65,8.0,>
4104,SQ35872,Black Disc Clarity,2017-01-11 08:26:00,10.24,8.0,>
4138,SQ35873,Black Disc Clarity,2013-04-09 11:20:00,5.23,1.5,>
4147,SQ35873,Black Disc Clarity,2014-03-17 12:40:00,3.0,1.5,>
4152,SQ35873,Black Disc Clarity,2014-08-21 12:05:00,1.51,1.5,>
4153,SQ35873,Black Disc Clarity,2014-09-18 12:46:00,2.2,1.5,>
4156,SQ35873,Black Disc Clarity,2015-01-21 10:44:00,1.52,1.5,>
4157,SQ35873,Black Disc Clarity,2015-02-18 13:59:00,2.29,1.5,>
4162,SQ35873,Black Disc Clarity,2015-07-22 12:04:00,1.91,1.5,>
4164,SQ35873,Black Disc Clarity,2015-09-21 13:21:00,2.36,1.5,>
4166,SQ35873,Black Disc Clarity,2015-11-19 12:30:00,2.03,1.5,>
4170,SQ35873,Black Disc Clarity,2016-03-15 11:28:00,1.65,1.5,>
4174,SQ35873,Black Disc Clarity,2016-08-23 12:35:00,1.88,1.5,>
4177,SQ35873,Black Disc Clarity,2016-12-13 10:47:00,1.82,1.5,>
4179,SQ35873,Black Disc Clarity,2017-03-23 10:08:00,3.16,1.5,>
4181,SQ35873,Black Disc Clarity,2017-05-22 13:56:00,1.98,1.5,>
4182,SQ35873,Black Disc Clarity,2017-06-21 12:31:00,3.2,1.5,>
4183,SQ35873,Black Disc Clarity,2017-07-20 11:13:00,2.29,1.5,>
4191,SQ35873,Black Disc Clarity,2018-06-27 12:56:00,1.7,1.5,>
4193,SQ35873,Black Disc Clarity,2018-08-27 12:42:00,2.48,1.5,>
4194,SQ35873,Black Disc Clarity,2018-09-26 14:22:00,1.84,1.5,>
4203,SQ35873,Black Disc Clarity,2019-06-26 13:21:00,2.05,1.5,>
4205,SQ35873,Black Disc Clarity,2019-08-28 14:05:00,2.19,1.5,>
4206,SQ35873,Black Disc Clarity,2019-09-27 14:08:00,2.07,1.5,>
4209,SQ35874,Black Disc Clarity,2013-04-09 12:10:00,3.64,2.85,>
4210,SQ35874,Black Disc Clarity,2013-05-09 11:34:00,3.28,2.85,>
4213,SQ35874,Black Disc Clarity,2013-08-06 11:15:00,3.0,2.85,>
4219,SQ35874,Black Disc Clarity,2014-02-11 11:40:00,2.94,2.85,>
4232,SQ35874,Black Disc Clarity,2015-03-17 09:41:00,2.98,2.85,>
4233,SQ35874,Black Disc Clarity,2015-04-21 10:22:00,3.95,2.85,>
4234,SQ35874,Black Disc Clarity,2015-06-16 10:00:00,4.42,2.85,>
4235,SQ35874,Black Disc Clarity,2015-07-22 10:10:00,4.89,2.85,>
4244,SQ35874,Black Disc Clarity,2016-04-19 10:48:00,4.0,2.85,>
4246,SQ35874,Black Disc Clarity,2016-06-22 12:48:00,2.96,2.85,>
4247,SQ35874,Black Disc Clarity,2016-07-19 09:40:00,4.34,2.85,>
4248,SQ35874,Black Disc Clarity,2016-08-23 10:52:00,3.39,2.85,>
4252,SQ35874,Black Disc Clarity,2016-12-13 09:14:00,3.11,2.85,>
4255,SQ35874,Black Disc Clarity,2017-03-23 08:33:00,5.19,2.85,>
4256,SQ35874,Black Disc Clarity,2017-04-18 10:44:00,5.45,2.85,>
4257,SQ35874,Black Disc Clarity,2017-05-22 12:16:00,5.58,2.85,>
4258,SQ35874,Black Disc Clarity,2017-06-21 10:54:00,5.21,2.85,>
4259,SQ35874,Black Disc Clarity,2017-07-20 09:28:00,6.1,2.85,>
4262,SQ35874,Black Disc Clarity,2017-10-18 09:00:00,2.91,2.85,>
4263,SQ35874,Black Disc Clarity,2017-11-24 10:04:00,3.26,2.85,>
4268,SQ35874,Black Disc Clarity,2018-04-26 10:45:00,3.5,2.85,>
4270,SQ35874,Black Disc Clarity,2018-07-24 11:22:00,3.59,2.85,>
4274,SQ35874,Black Disc Clarity,2018-11-29 11:49:00,3.22,2.85,>
4275,SQ35874,Black Disc Clarity,2018-12-17 09:30:00,4.08,2.85,>
4276,SQ35874,Black Disc Clarity,2019-01-31 11:03:00,3.65,2.85,>
4277,SQ35874,Black Disc Clarity,2019-02-25 09:55:00,3.37,2.85,>
4278,SQ35874,Black Disc Clarity,2019-03-28 11:23:00,5.37,2.85,>
4279,SQ35874,Black Disc Clarity,2019-04-30 10:39:00,3.55,2.85,>
4280,SQ35874,Black Disc Clarity,2019-05-29 11:19:00,5.09,2.85,>
4281,SQ35874,Black Disc Clarity,2019-06-26 11:29:00,7.02,2.85,>
4282,SQ35874,Black Disc Clarity,2019-07-29 12:13:00,4.41,2.85,>
4283,SQ35874,Black Disc Clarity,2019-08-28 12:24:00,3.64,2.85,>
4284,SQ35874,Black Disc Clarity,2019-09-27 12:41:00,3.45,2.85,>
4287,SQ35874,Black Disc Clarity,2019-12-19 11:03:00,2.91,2.85,>
4288,SQ35875,Black Disc Clarity,2013-05-09 11:02:00,2.71,1.5,>
4291,SQ35875,Black Disc Clarity,2013-08-06 12:15:00,2.5,1.5,>
4297,SQ35875,Black Disc Clarity,2014-02-11 12:30:00,1.69,1.5,>
4298,SQ35875,Black Disc Clarity,2014-03-17 12:12:00,1.55,1.5,>
4300,SQ35875,Black Disc Clarity,2014-05-15 12:01:00,1.57,1.5,>
4301,SQ35875,Black Disc Clarity,2014-06-16 11:43:00,2.27,1.5,>
4302,SQ35875,Black Disc Clarity,2014-07-10 10:55:00,2.05,1.5,>
4303,SQ35875,Black Disc Clarity,2014-08-21 11:36:00,2.69,1.5,>
4304,SQ35875,Black Disc Clarity,2014-09-18 12:07:00,1.59,1.5,>
4305,SQ35875,Black Disc Clarity,2014-10-23 10:56:00,2.23,1.5,>
4307,SQ35875,Black Disc Clarity,2014-12-15 11:24:00,1.75,1.5,>
4308,SQ35875,Black Disc Clarity,2015-01-21 10:04:00,2.29,1.5,>
4309,SQ35875,Black Disc Clarity,2015-03-17 10:22:00,2.92,1.5,>
4310,SQ35875,Black Disc Clarity,2015-05-21 13:02:00,2.91,1.5,>
4311,SQ35875,Black Disc Clarity,2015-06-16 11:01:00,3.42,1.5,>
4312,SQ35875,Black Disc Clarity,2015-07-22 11:23:00,2.27,1.5,>
4313,SQ35875,Black Disc Clarity,2015-08-17 12:48:00,2.5,1.5,>
4314,SQ35875,Black Disc Clarity,2015-09-21 12:45:00,4.68,1.5,>
4315,SQ35875,Black Disc Clarity,2015-10-22 10:36:00,2.02,1.5,>
4316,SQ35875,Black Disc Clarity,2015-11-19 11:51:00,3.02,1.5,>
4318,SQ35875,Black Disc Clarity,2016-01-20 09:37:00,2.61,1.5,>
4321,SQ35875,Black Disc Clarity,2016-07-19 10:37:00,2.07,1.5,>
4322,SQ35875,Black Disc Clarity,2016-08-23 11:57:00,2.81,1.5,>
4323,SQ35875,Black Disc Clarity,2016-09-23 12:59:00,1.76,1.5,>
4324,SQ35875,Black Disc Clarity,2016-10-18 10:21:00,2.01,1.5,>
4326,SQ35875,Black Disc Clarity,2016-12-13 10:11:00,2.82,1.5,>
4327,SQ35875,Black Disc Clarity,2017-01-19 10:14:00,1.51,1.5,>
4329,SQ35875,Black Disc Clarity,2017-03-23 09:33:00,3.28,1.5,>
4332,SQ35875,Black Disc Clarity,2017-06-21 12:06:00,1.8,1.5,>
4333,SQ35875,Black Disc Clarity,2017-07-20 10:36:00,2.39,1.5,>
4334,SQ35875,Black Disc Clarity,2017-08-23 12:29:00,2.91,1.5,>
4336,SQ35875,Black Disc Clarity,2017-10-18 09:58:00,1.61,1.5,>
4337,SQ35875,Black Disc Clarity,2017-12-14 11:29:00,1.55,1.5,>
4338,SQ35875,Black Disc Clarity,2018-02-22 11:37:00,1.51,1.5,>
4339,SQ35875,Black Disc Clarity,2018-02-24 09:54:00,1.51,1.5,>
4341,SQ35875,Black Disc Clarity,2018-04-26 11:57:00,1.74,1.5,>
4342,SQ35875,Black Disc Clarity,2018-06-27 12:07:00,1.72,1.5,>
4344,SQ35875,Black Disc Clarity,2018-08-27 12:04:00,1.63,1.5,>
4349,SQ35875,Black Disc Clarity,2019-02-25 10:46:00,1.59,1.5,>
4358,SQ35875,Black Disc Clarity,2019-12-19 12:07:00,1.64,1.5,>
624,SQ20106,E. coli,2008-08-19 11:48:00,2.0,10.0,<
651,SQ20106,E. coli,2018-04-26 14:41:00,9.0,10.0,<
2824,SQ30956,E. coli,2009-07-08 10:45:00,0.0,1.0,<
2827,SQ30956,E. coli,2009-10-07 10:00:00,0.0,1.0,<
2828,SQ30956,E. coli,2009-11-03 11:00:00,0.0,1.0,<
2830,SQ30956,E. coli,2010-01-13 09:20:00,0.0,1.0,<
3333,SQ33593,E. coli,2009-12-16 09:30:00,7.0,10.0,<
3334,SQ33593,E. coli,2010-01-13 09:00:00,3.0,10.0,<
