,Site,Measurement,DateTime,Value,std*4 + mean
3935,SQ20785,Turbidity,2013-06-19 08:32:00,30.0,20.319
3991,SQ20785,Turbidity,2018-02-22 08:11:00,31.0,20.319
4013,SQ20785,Turbidity,2019-12-12 10:00:00,21.0,20.319
4076,SQ21044,Turbidity,2017-08-14 11:08:00,12.2,11.718
4148,SQ21045,Turbidity,2017-08-14 11:30:00,129.0,66.447
4220,SQ21046,Turbidity,2017-08-14 11:40:00,108.0,56.065999999999995
4272,SQ21047,Turbidity,2012-08-22 12:59:00,25.0,21.615000000000002
4289,SQ21047,Turbidity,2014-06-11 11:15:00,27.0,21.615000000000002
4390,SQ21049,Turbidity,2012-08-15 12:33:00,63.0,30.930999999999997
4407,SQ21049,Turbidity,2014-06-11 11:40:00,36.0,30.930999999999997
4529,SQ21160,Turbidity,2009-02-12 11:37:00,95.0,51.806000000000004
4558,SQ21160,Turbidity,2012-08-09 11:38:00,87.0,51.806000000000004
4618,SQ21160,Turbidity,2017-08-14 12:37:00,72.0,51.806000000000004
4688,SQ21254,Turbidity,2007-07-03 09:30:00,88.0,51.903
4747,SQ21254,Turbidity,2012-08-09 11:22:00,130.0,51.903
4868,SQ21255,Turbidity,2012-08-09 11:56:00,98.0,42.980000000000004
4978,SQ21289,Turbidity,2009-07-07 12:36:00,21.0,13.014
4994,SQ21289,Turbidity,2013-05-20 11:24:00,18.5,13.014
5103,SQ21292,Turbidity,2009-07-07 11:37:00,14.0,7.736
5120,SQ21292,Turbidity,2013-07-11 10:35:00,9.8,7.736
5252,SQ21296,Turbidity,2015-10-06 09:50:00,61.0,35.97
5276,SQ21298,Turbidity,2004-12-06 09:00:00,28.0,12.91
5299,SQ21298,Turbidity,2009-07-07 10:04:00,18.0,12.91
5411,SQ21299,Turbidity,2009-07-07 10:24:00,59.0,41.253
5508,SQ21309,Turbidity,2017-08-14 13:20:00,490.0,254.701
5587,SQ22030,Turbidity,2015-07-06 14:10:00,60.0,54.660999999999994
5600,SQ22030,Turbidity,2016-08-03 14:10:00,71.0,54.660999999999994
5608,SQ22030,Turbidity,2017-04-12 15:55:00,74.0,54.660999999999994
5696,SQ26221,Turbidity,2013-10-09 09:15:00,19.2,9.118
5705,SQ26221,Turbidity,2014-07-09 12:28:00,11.8,9.118
5791,SQ26242,Turbidity,2014-04-29 10:55:00,85.0,48.114999999999995
5865,SQ26368,Turbidity,2011-10-26 11:05:00,810.0,390.416
5882,SQ26368,Turbidity,2013-10-22 08:25:00,680.0,390.416
5993,SQ26369,Turbidity,2013-10-22 09:25:00,8.5,4.057
6110,SQ26633,Turbidity,2012-08-15 12:16:00,340.0,163.746
6270,SQ26931,Turbidity,2018-02-01 09:24:00,187.0,96.541
6291,SQ26931,Turbidity,2019-12-04 09:11:00,130.0,96.541
6337,SQ26932,Turbidity,2015-06-11 11:00:00,3.8,3.298
6435,SQ30011,Turbidity,2014-04-29 13:51:00,590.0,246.763
6601,SQ30147,Turbidity,2019-12-12 13:48:00,5.8,3.915
6620,SQ30162,Turbidity,2008-08-27 13:55:00,300.0,184.64100000000002
6623,SQ30162,Turbidity,2009-05-25 13:40:00,240.0,184.64100000000002
6703,SQ30162,Turbidity,2017-10-12 11:40:00,190.0,184.64100000000002
6711,SQ30162,Turbidity,2018-06-14 10:43:00,197.0,184.64100000000002
6748,SQ30175,Turbidity,2008-08-27 10:20:00,470.0,287.379
6751,SQ30175,Turbidity,2009-05-25 10:20:00,400.0,287.379
6779,SQ30175,Turbidity,2013-07-03 11:08:00,300.0,287.379
6869,SQ30184,Turbidity,2008-08-27 11:10:00,220.0,143.142
6872,SQ30184,Turbidity,2009-05-25 11:05:00,170.0,143.142
6889,SQ30184,Turbidity,2013-06-04 10:50:00,160.0,143.142
7026,SQ30215,Turbidity,2015-04-01 11:57:00,6.7,3.758
7109,SQ30222,Turbidity,2010-08-09 11:50:00,17.0,11.56
7256,SQ30332,Turbidity,2017-04-07 11:01:00,128.0,48.505
7321,SQ30369,Turbidity,2008-08-28 09:55:00,28.0,19.14
7406,SQ30390,Turbidity,2007-06-27 11:25:00,50.0,33.969
7521,SQ30400,Turbidity,2011-08-18 10:55:00,55.0,48.978
7584,SQ30400,Turbidity,2017-10-09 08:51:00,110.0,48.978
7641,SQ30426,Turbidity,2011-08-18 10:45:00,20.0,15.473
7716,SQ30445,Turbidity,2011-08-18 10:00:00,5.1,3.999
7733,SQ30445,Turbidity,2014-03-06 08:30:00,5.9,3.999
7889,SQ30707,Turbidity,2012-06-05 12:12:00,21.0,17.44
7899,SQ30707,Turbidity,2013-10-09 12:00:00,22.0,17.44
7913,SQ30707,Turbidity,2014-12-01 09:33:00,24.0,17.44
7999,SQ30782,Turbidity,2007-10-11 13:15:00,27.0,21.34
8024,SQ30782,Turbidity,2009-11-03 14:30:00,46.0,21.34
8066,SQ30782,Turbidity,2013-06-28 13:24:00,22.0,21.34
8225,SQ30878,Turbidity,2012-08-16 13:04:00,21.0,11.294
8236,SQ30878,Turbidity,2013-07-16 12:20:00,15.3,11.294
8356,SQ30916,Turbidity,2013-10-15 10:46:00,140.0,108.836
8407,SQ30916,Turbidity,2018-02-22 10:54:00,230.0,108.836
8438,SQ30928,Turbidity,2006-02-09 09:35:00,170.0,143.927
8451,SQ30928,Turbidity,2009-05-06 11:40:00,210.0,143.927
8518,SQ30928,Turbidity,2017-09-19 11:39:00,250.0,143.927
8557,SQ30945,Turbidity,2009-05-06 11:10:00,270.0,137.73499999999999
8574,SQ30945,Turbidity,2013-05-10 10:32:00,155.0,137.73499999999999
8723,SQ30955,Turbidity,2017-02-07 10:18:00,470.0,462.57099999999997
8817,SQ30976,Turbidity,2007-10-11 10:40:00,38.0,24.432000000000002
8840,SQ30976,Turbidity,2009-11-03 11:50:00,31.0,24.432000000000002
8855,SQ30976,Turbidity,2011-04-12 11:25:00,28.0,24.432000000000002
8929,SQ30977,Turbidity,2007-10-11 10:25:00,38.0,20.564
9102,SQ30992,Turbidity,2012-08-16 11:22:00,8.7,8.225
9113,SQ30992,Turbidity,2013-07-16 11:26:00,11.9,8.225
9171,SQ30992,Turbidity,2018-05-24 12:18:00,9.4,8.225
9297,SQ31018,Turbidity,2019-01-24 14:44:00,3800.0,1536.65
9380,SQ31020,Turbidity,2016-02-18 09:15:00,1220.0,664.116
9389,SQ31020,Turbidity,2016-11-15 12:13:00,680.0,664.116
9415,SQ31020,Turbidity,2019-01-24 13:37:00,790.0,664.116
9592,SQ32732,Turbidity,2014-12-01 11:54:00,82.0,36.975
9784,SQ32872,Turbidity,2012-08-16 13:40:00,68.0,54.891
9795,SQ32872,Turbidity,2013-07-16 12:40:00,74.0,54.891
9925,SQ32943,Turbidity,2013-03-26 09:59:00,13.5,12.263
9980,SQ32943,Turbidity,2018-11-06 08:20:00,23.0,12.263
10076,SQ33055,Turbidity,2011-10-19 09:45:00,330.0,123.98700000000001
10203,SQ33056,Turbidity,2011-10-19 10:10:00,290.0,94.149
10413,SQ33148,Turbidity,2017-09-26 07:44:00,10000.0,4555.249
10548,SQ33270,Turbidity,2018-10-30 09:45:00,3700.0,2579.8239999999996
10549,SQ33270,Turbidity,2018-11-26 09:22:00,5000.0,2579.8239999999996
10577,SQ33273,Turbidity,2006-07-20 11:05:00,78.0,42.361000000000004
10609,SQ33273,Turbidity,2013-09-25 14:46:00,46.0,42.361000000000004
10638,SQ33273,Turbidity,2016-02-23 13:55:00,52.0,42.361000000000004
10699,SQ33274,Turbidity,2006-07-20 12:00:00,43.0,25.540999999999997
10767,SQ33476,Turbidity,2006-07-20 10:50:00,100.0,51.706
10941,SQ33899,Turbidity,2018-11-27 09:05:00,94.0,39.406
10973,SQ33962,Turbidity,2008-08-27 12:15:00,180.0,86.795
11098,SQ34191,Turbidity,2010-08-09 12:25:00,54.0,35.557
11150,SQ34412,Turbidity,2006-07-20 12:50:00,40.0,25.943
11361,SQ34417,Turbidity,2018-06-13 12:20:00,1490.0,501.68100000000004
11480,SQ34418,Turbidity,2015-10-14 09:06:00,111.0,72.594
11615,SQ34538,Turbidity,2018-06-20 09:53:00,3.9,3.46
11671,SQ34540,Turbidity,2013-07-16 11:05:00,24.0,10.932
11799,SQ34557,Turbidity,2006-07-20 11:45:00,120.0,107.912
11849,SQ34557,Turbidity,2018-10-30 16:10:00,176.0,107.912
11891,SQ34569,Turbidity,2013-10-09 09:50:00,55.0,28.746
12054,SQ34580,Turbidity,2017-09-19 10:18:00,67.0,28.102
12092,SQ34626,Turbidity,2009-01-15 12:11:00,68.0,57.278999999999996
12118,SQ34626,Turbidity,2013-10-09 09:30:00,83.0,57.278999999999996
12225,SQ34646,Turbidity,2010-08-09 11:15:00,47.0,33.268
12290,SQ34646,Turbidity,2017-10-09 10:36:00,56.0,33.268
12404,SQ34704,Turbidity,2017-09-26 08:42:00,780.0,353.15999999999997
12486,SQ34705,Turbidity,2018-04-17 10:18:00,240.0,170.13500000000002
12541,SQ34706,Turbidity,2014-04-29 14:19:00,760.0,499.75
12543,SQ34706,Turbidity,2014-06-26 14:29:00,660.0,499.75
12582,SQ34706,Turbidity,2017-09-26 12:24:00,670.0,499.75
12707,SQ34711,Turbidity,2018-11-27 09:35:00,2000.0,817.23
12782,SQ34865,Turbidity,2010-05-27 09:15:00,210.0,105.056
12871,SQ34865,Turbidity,2017-10-11 08:20:00,194.0,105.056
12879,SQ34865,Turbidity,2018-06-13 08:34:00,135.0,105.056
13042,SQ34866,Turbidity,2017-10-11 10:20:00,230.0,109.648
13050,SQ34866,Turbidity,2018-06-13 12:39:00,210.0,109.648
13152,SQ34869,Turbidity,2017-09-26 10:26:00,3800.0,1643.772
13184,SQ34884,Turbidity,2008-08-20 11:47:00,54.0,38.342
13215,SQ34884,Turbidity,2013-10-09 09:15:00,39.0,38.342
13338,SQ34903,Turbidity,2018-05-11 10:16:00,24.0,14.774
13377,SQ34905,Turbidity,2008-08-28 09:55:00,28.0,18.456
13474,SQ35080,Turbidity,2012-08-16 10:26:00,180.0,164.208
13534,SQ35119,Turbidity,2013-10-22 10:45:00,49.0,22.179000000000002
13660,SQ35156,Turbidity,2014-12-01 11:32:00,64.0,29.93
13773,SQ35157,Turbidity,2018-12-03 12:48:00,14.8,11.786000000000001
13806,SQ35172,Turbidity,2013-09-25 10:22:00,1510.0,929.152
13866,SQ35172,Turbidity,2018-10-30 09:10:00,1520.0,929.152
13964,SQ35173,Turbidity,2018-10-30 15:09:00,280.0,130.75799999999998
14060,SQ35174,Turbidity,2018-02-26 13:50:00,13700.0,7221.491999999999
14068,SQ35174,Turbidity,2018-10-30 15:41:00,7700.0,7221.491999999999
14132,SQ35234,Turbidity,2014-12-01 10:58:00,46.0,31.389000000000003
14206,SQ35235,Turbidity,2018-12-03 13:15:00,46.0,32.074
14345,SQ35545,Turbidity,2018-09-04 11:11:00,107.0,96.249
14453,SQ35792,Turbidity,2016-05-20 08:25:00,18.1,11.755
14527,SQ35798,Turbidity,2014-04-28 11:55:00,58.0,26.88
14657,SQ35800,Turbidity,2018-11-26 13:07:00,3000.0,2760.616
14670,SQ35800,Turbidity,2019-12-18 13:55:00,3500.0,2760.616
14697,SQ35818,Turbidity,2018-04-17 11:18:00,57.0,44.406
14762,SQ35871,Turbidity,2018-02-20 11:24:00,1230.0,667.073
14847,SQ35872,Turbidity,2018-06-13 09:26:00,310.0,151.571
14910,SQ35873,Turbidity,2017-01-19 10:52:00,2400.0,1138.212
14964,SQ35874,Turbidity,2014-10-23 10:12:00,7.6,7.0120000000000005
15100,SQ35875,Turbidity,2019-06-26 12:42:00,8.5,7.561999999999999
15131,SQ35876,Turbidity,2015-05-13 09:49:00,146.0,130.138
15140,SQ35876,Turbidity,2016-02-19 08:50:00,181.0,130.138
15288,SQ36037,Turbidity,2016-12-14 10:15:00,390.0,357.81800000000004
3312,SQ20545,pH (Field),2014-09-11 11:38:00,8.24,8.209999999999999
4311,SQ21047,pH (Field),2014-09-11 12:48:00,9.16,9.045
4427,SQ21049,pH (Field),2014-09-11 13:12:00,9.34,9.294
5538,SQ22030,pH (Field),2014-09-11 14:05:00,8.97,8.244
5846,SQ26368,pH (Field),2014-11-24 10:23:00,8.53,8.366
6825,SQ30215,pH (Field),2013-11-04 12:22:00,8.56,8.082
7252,SQ30390,pH (Field),2015-05-07 12:58:00,9.24,8.65
7346,SQ30400,pH (Field),2014-12-11 11:05:00,8.7,8.66
8648,SQ30976,pH (Field),2006-09-07 12:10:00,9.2,9.137
11844,SQ34557,pH (Field),2009-01-29 15:10:00,9.3,8.976
12305,SQ34646,pH (Field),2016-08-02 10:59:00,9.93,8.79
14366,SQ35798,pH (Field),2014-09-30 11:25:00,9.07,8.919
14553,SQ35871,pH (Field),2014-09-25 12:05:00,9.67,9.245000000000001
12,SQ10005,Black Disc Clarity,2014-06-10 11:25:00,6.75,6.448
431,SQ10275,Black Disc Clarity,2013-06-19 11:19:00,6.92,4.591
2647,SQ21298,Black Disc Clarity,2016-09-06 09:16:00,15.85,15.547
5551,SQ34704,Black Disc Clarity,2015-03-24 09:36:00,6.69,6.061
6409,SQ35174,Black Disc Clarity,2015-05-28 14:04:00,5.74,4.7909999999999995
6696,SQ35800,Black Disc Clarity,2014-02-24 11:05:00,2.07,1.5970000000000002
6928,SQ35873,Black Disc Clarity,2013-04-09 11:20:00,5.23,4.959
66,SQ10005,E. coli,2016-02-19 09:15:00,1986.0,1490.295
75,SQ10005,E. coli,2016-11-18 09:15:00,2420.0,1490.295
195,SQ10012,E. coli,2016-02-19 07:45:00,1986.0,1890.326
388,SQ10057,E. coli,2014-03-12 08:30:00,1203.0,1060.001
452,SQ10160,E. coli,2014-02-14 12:00:00,2420.0,2022.838
498,SQ10160,E. coli,2018-03-22 11:56:00,2420.0,2022.838
519,SQ10167,E. coli,2005-12-20 09:45:00,520.0,366.504
592,SQ10167,E. coli,2018-11-09 11:05:00,517.0,366.504
695,SQ10174,E. coli,2018-03-22 08:00:00,2420.0,2115.602
715,SQ10174,E. coli,2019-12-16 08:37:00,2420.0,2115.602
746,SQ10206,E. coli,2016-01-27 09:09:00,291.0,269.977
866,SQ10275,E. coli,2018-02-22 10:22:00,2420.0,1172.644
942,SQ10301,E. coli,2015-12-16 10:50:00,248.0,206.764
944,SQ10301,E. coli,2016-02-19 10:01:00,308.0,206.764
998,SQ10804,E. coli,2006-04-10 11:55:00,820.0,739.326
1072,SQ10805,E. coli,2013-10-22 12:35:00,261.0,223.172
1168,SQ10814,E. coli,2016-10-11 08:37:00,1733.0,1006.3539999999999
1464,SQ20106,E. coli,2004-02-16 10:10:00,910.0,853.1700000000001
1544,SQ20107,E. coli,2013-10-10 09:46:00,1553.0,1377.1119999999999
1552,SQ20107,E. coli,2016-01-20 11:17:00,1414.0,1377.1119999999999
1581,SQ20112,E. coli,2008-02-25 11:15:00,980.0,543.899
1645,SQ20112,E. coli,2017-01-19 08:14:00,727.0,543.899
1685,SQ20175,E. coli,2006-02-27 13:10:00,4600.0,2999.923
1843,SQ20176,E. coli,2017-02-01 12:16:00,1986.0,1937.136
1992,SQ20195,E. coli,2008-12-17 11:36:00,2400.0,2227.575
2105,SQ20199,E. coli,2006-02-14 12:45:00,2000.0,1896.31
2217,SQ20203,E. coli,2018-02-22 08:00:00,548.0,513.024
2281,SQ20236,E. coli,2014-05-26 13:05:00,1553.0,1130.385
2340,SQ20252,E. coli,2013-05-07 08:35:00,2420.0,1807.1989999999998
2352,SQ20252,E. coli,2014-06-11 08:15:00,2420.0,1807.1989999999998
2391,SQ20252,E. coli,2017-10-12 08:45:00,1986.0,1807.1989999999998
2501,SQ20318,E. coli,2017-04-12 12:27:00,2420.0,2408.55
2616,SQ20332,E. coli,2017-04-13 09:30:00,727.0,691.031
2633,SQ20332,E. coli,2018-10-12 09:45:00,727.0,691.031
2690,SQ20350,E. coli,2013-10-15 11:25:00,2420.0,1433.251
2741,SQ20350,E. coli,2018-02-22 11:22:00,1553.0,1433.251
2767,SQ20401,E. coli,2005-02-16 09:35:00,9800.0,5652.7919999999995
2862,SQ20450,E. coli,2016-11-16 07:29:00,2420.0,1648.211
2876,SQ20450,E. coli,2018-02-22 11:40:00,1986.0,1648.211
2962,SQ20509,E. coli,2005-05-10 11:10:00,3300.0,2750.612
3103,SQ20541,E. coli,2012-11-01 08:45:00,2400.0,2333.677
3129,SQ20541,E. coli,2019-11-12 10:37:00,2420.0,2333.677
3167,SQ20544,E. coli,2013-11-27 08:30:00,2420.0,2353.73
3268,SQ20545,E. coli,2014-11-05 10:31:00,2420.0,2129.136
3281,SQ20545,E. coli,2016-01-08 10:14:00,2420.0,2129.136
3296,SQ20545,E. coli,2017-04-12 14:04:00,2420.0,2129.136
3373,SQ20575,E. coli,2013-05-20 09:35:00,1553.0,952.174
3418,SQ20575,E. coli,2017-02-03 08:42:00,1300.0,952.174
3431,SQ20575,E. coli,2018-03-08 08:33:00,980.0,952.174
3476,SQ20577,E. coli,2010-01-11 12:14:00,1000.0,901.26
3569,SQ20601,E. coli,2012-02-08 10:10:00,2400.0,1336.44
3648,SQ20601,E. coli,2018-11-27 10:11:00,1553.0,1336.44
3693,SQ20606,E. coli,2015-12-17 12:07:00,1733.0,1462.083
3707,SQ20606,E. coli,2017-03-22 12:00:00,1553.0,1462.083
3807,SQ20725,E. coli,2016-01-14 10:16:00,1300.0,1290.167
3838,SQ20725,E. coli,2018-10-12 10:13:00,1733.0,1290.167
3933,SQ20785,E. coli,2018-02-22 08:11:00,435.0,292.305
3942,SQ20785,E. coli,2018-11-13 07:38:00,345.0,292.305
4176,SQ21047,E. coli,2005-04-12 10:10:00,2400.0,2284.553
4453,SQ21160,E. coli,2011-03-08 00:00:00,3600.0,3132.346
4611,SQ21254,E. coli,2009-12-17 00:00:00,4611.0,3039.643
4622,SQ21254,E. coli,2010-11-18 00:00:00,4884.0,3039.643
4938,SQ21292,E. coli,2005-02-07 09:25:00,980.0,978.591
4954,SQ21292,E. coli,2008-04-08 10:34:00,1100.0,978.591
4974,SQ21292,E. coli,2013-05-20 09:32:00,1046.0,978.591
5028,SQ21292,E. coli,2017-11-08 10:35:00,980.0,978.591
5044,SQ21292,E. coli,2019-03-08 10:00:00,1046.0,978.591
5060,SQ21296,E. coli,2004-12-06 10:00:00,2400.0,1987.613
5131,SQ21298,E. coli,2004-12-06 09:00:00,2400.0,2033.5710000000001
5246,SQ21299,E. coli,2005-04-11 09:55:00,2000.0,1843.306
5292,SQ21299,E. coli,2017-07-04 13:00:00,2420.0,1843.306
5442,SQ22030,E. coli,2016-08-03 14:10:00,2420.0,2301.482
5725,SQ26368,E. coli,2017-02-21 09:28:00,1986.0,940.252
5788,SQ26369,E. coli,2014-01-20 10:40:00,649.0,514.614
5837,SQ26369,E. coli,2018-03-20 11:06:00,613.0,514.614
5849,SQ26369,E. coli,2019-03-14 11:42:00,517.0,514.614
5902,SQ26633,E. coli,2012-08-15 12:16:00,610.0,521.984
5913,SQ26633,E. coli,2014-01-09 09:50:00,687.0,521.984
5923,SQ26633,E. coli,2014-11-05 10:30:00,727.0,521.984
6001,SQ26931,E. coli,2015-04-07 09:40:00,770.0,558.5849999999999
6083,SQ26932,E. coli,2016-01-07 10:06:00,613.0,431.93600000000004
6107,SQ26932,E. coli,2018-01-10 09:40:00,613.0,431.93600000000004
6129,SQ30011,E. coli,2005-07-18 12:20:00,2400.0,1749.235
6256,SQ30162,E. coli,2008-08-27 13:55:00,1600.0,1106.739
6336,SQ30162,E. coli,2018-06-14 10:43:00,1986.0,1106.739
6381,SQ30175,E. coli,2010-08-17 11:05:00,730.0,690.855
6394,SQ30175,E. coli,2013-06-04 11:30:00,866.0,690.855
6445,SQ30175,E. coli,2017-10-12 08:39:00,816.0,690.855
6505,SQ30184,E. coli,2013-06-04 10:50:00,866.0,754.836
6560,SQ30184,E. coli,2018-04-13 13:45:00,1046.0,754.836
6579,SQ30184,E. coli,2019-11-11 12:00:00,1046.0,754.836
6696,SQ30222,E. coli,2004-07-29 10:25:00,5800.0,3600.75
6801,SQ30332,E. coli,2012-11-26 11:05:00,2420.0,1665.191
6803,SQ30332,E. coli,2012-12-19 11:40:00,1733.0,1665.191
7071,SQ30400,E. coli,2007-11-28 12:45:00,2000.0,1855.558
7072,SQ30400,E. coli,2007-12-18 08:41:00,2400.0,1855.558
7239,SQ30445,E. coli,2005-07-26 11:19:00,2400.0,1906.298
7338,SQ30445,E. coli,2018-01-12 07:51:00,1986.0,1906.298
7406,SQ30707,E. coli,2014-12-01 09:33:00,1986.0,1741.086
7434,SQ30707,E. coli,2017-04-03 10:00:00,1986.0,1741.086
7629,SQ30878,E. coli,2008-12-10 13:30:00,2400.0,1733.678
7653,SQ30878,E. coli,2010-12-02 10:45:00,2400.0,1733.678
7800,SQ30916,E. coli,2013-10-15 10:46:00,2420.0,1450.161
7878,SQ30928,E. coli,2006-02-09 09:35:00,17000.0,6607.162
8114,SQ30953,E. coli,2010-06-09 14:30:00,820.0,474.022
8239,SQ30954,E. coli,2017-07-25 10:57:00,5170.0,2729.813
8264,SQ30955,E. coli,2009-03-02 12:20:00,1600.0,1429.06
8342,SQ30955,E. coli,2018-02-23 10:35:00,2190.0,1429.06
8347,SQ30955,E. coli,2018-11-22 09:40:00,1733.0,1429.06
8403,SQ30956,E. coli,2011-11-09 10:00:00,1000.0,493.875
8625,SQ30992,E. coli,2008-06-05 10:30:00,2000.0,1818.434
8820,SQ31018,E. coli,2015-04-16 08:22:00,1733.0,1638.367
8838,SQ31018,E. coli,2016-11-15 13:13:00,2420.0,1638.367
8839,SQ31018,E. coli,2016-12-08 12:05:00,1986.0,1638.367
8894,SQ31020,E. coli,2008-11-24 11:10:00,980.0,558.4480000000001
8943,SQ31020,E. coli,2016-02-18 09:15:00,579.0,558.4480000000001
8950,SQ31020,E. coli,2016-11-15 12:13:00,687.0,558.4480000000001
9015,SQ32640,E. coli,2016-02-16 12:02:00,3870.0,2665.192
9072,SQ32732,E. coli,2009-04-03 07:55:00,20000.0,10088.67
9308,SQ32943,E. coli,2006-11-06 08:50:00,2400.0,1764.4470000000001
9505,SQ33056,E. coli,2010-08-18 11:05:00,2400.0,2345.8109999999997
9588,SQ33056,E. coli,2018-01-10 10:49:00,2420.0,2345.8109999999997
9665,SQ33147,E. coli,2011-10-19 10:45:00,820.0,794.005
9723,SQ33147,E. coli,2017-04-10 14:10:00,1986.0,794.005
9840,SQ33148,E. coli,2018-10-30 08:14:00,2420.0,1581.671
9851,SQ33148,E. coli,2019-12-18 07:27:00,2420.0,1581.671
9866,SQ33270,E. coli,2006-07-20 10:35:00,2100.0,1074.462
9959,SQ33270,E. coli,2018-11-26 09:22:00,1414.0,1074.462
9985,SQ33273,E. coli,2006-07-20 11:05:00,7700.0,4185.393
10098,SQ33274,E. coli,2006-07-20 12:00:00,4400.0,3261.587
10164,SQ33476,E. coli,2006-07-20 10:50:00,7700.0,4684.913
10282,SQ33593,E. coli,2015-03-10 14:41:00,14140.0,6481.397
10339,SQ33899,E. coli,2008-10-22 10:50:00,490.0,446.72900000000004
10427,SQ33899,E. coli,2019-12-19 07:46:00,816.0,446.72900000000004
10480,SQ33962,E. coli,2014-07-01 11:50:00,1203.0,1004.746
10512,SQ33962,E. coli,2017-03-08 10:58:00,1414.0,1004.746
10557,SQ34191,E. coli,2007-01-18 10:35:00,2400.0,2354.335
10619,SQ34412,E. coli,2006-07-20 12:50:00,4400.0,3213.4089999999997
10677,SQ34417,E. coli,2005-10-27 10:00:00,1700.0,1535.3
10714,SQ34417,E. coli,2009-03-19 09:30:00,1700.0,1535.3
10822,SQ34417,E. coli,2018-04-11 13:28:00,2420.0,1535.3
10858,SQ34418,E. coli,2007-01-25 09:20:00,2400.0,2117.844
10891,SQ34418,E. coli,2010-02-18 09:40:00,2400.0,2117.844
10953,SQ34420,E. coli,2015-07-15 11:42:00,1120.0,1064.524
10971,SQ34538,E. coli,2004-12-16 09:55:00,1100.0,949.662
11005,SQ34538,E. coli,2013-04-22 09:56:00,1203.0,949.662
11084,SQ34540,E. coli,2004-12-16 10:30:00,2000.0,1753.63
11213,SQ34548,E. coli,2010-06-10 11:00:00,2400.0,1843.2740000000001
11304,SQ34548,E. coli,2018-02-22 08:34:00,1986.0,1843.2740000000001
11313,SQ34548,E. coli,2018-11-21 09:55:00,1986.0,1843.2740000000001
11315,SQ34548,E. coli,2019-01-24 08:14:00,1986.0,1843.2740000000001
11341,SQ34557,E. coli,2006-07-20 11:45:00,5800.0,3382.503
11517,SQ34580,E. coli,2006-02-09 09:15:00,6100.0,2649.844
11634,SQ34626,E. coli,2010-12-14 08:09:00,5500.0,5026.133
11717,SQ34646,E. coli,2005-07-20 10:30:00,16000.0,6156.6320000000005
11853,SQ34704,E. coli,2011-10-06 10:10:00,330.0,317.354
11866,SQ34704,E. coli,2013-11-26 10:40:00,326.0,317.354
11871,SQ34704,E. coli,2014-04-29 11:49:00,488.0,317.354
12006,SQ34706,E. coli,2005-07-18 12:40:00,2400.0,1407.033
12023,SQ34706,E. coli,2009-10-19 12:45:00,1600.0,1407.033
12121,SQ34711,E. coli,2006-07-20 09:45:00,5200.0,2620.24
12241,SQ34865,E. coli,2006-09-28 08:50:00,2400.0,1344.971
12445,SQ34866,E. coli,2009-09-24 10:35:00,2400.0,2282.66
12447,SQ34866,E. coli,2009-12-15 09:45:00,2400.0,2282.66
12457,SQ34866,E. coli,2010-12-16 09:50:00,2400.0,2282.66
12638,SQ34869,E. coli,2017-09-26 10:26:00,5790.0,2430.1189999999997
12742,SQ34884,E. coli,2019-01-10 11:38:00,2420.0,1899.301
12940,SQ34980,E. coli,2017-04-10 14:44:00,1733.0,976.585
13002,SQ35080,E. coli,2015-01-21 13:00:00,2420.0,2248.66
13066,SQ35119,E. coli,2015-04-13 12:37:00,326.0,285.46
13099,SQ35119,E. coli,2018-02-22 12:30:00,387.0,285.46
13138,SQ35156,E. coli,2009-12-02 09:58:00,17000.0,7597.612
13367,SQ35172,E. coli,2018-10-30 09:10:00,2420.0,1069.686
13407,SQ35173,E. coli,2013-11-27 11:00:00,2420.0,2268.728
13553,SQ35174,E. coli,2018-10-30 15:41:00,980.0,890.188
13565,SQ35174,E. coli,2019-10-24 15:40:00,1553.0,890.188
13628,SQ35234,E. coli,2009-12-02 10:22:00,9200.0,6182.837
13718,SQ35236,E. coli,2010-01-05 09:44:00,4600.0,3208.359
13764,SQ35545,E. coli,2010-01-05 10:27:00,4900.0,4860.5019999999995
13842,SQ35792,E. coli,2016-02-19 08:01:00,1300.0,952.0450000000001
13932,SQ35798,E. coli,2015-04-29 11:52:00,1986.0,1734.732
14049,SQ35800,E. coli,2018-11-26 13:07:00,1553.0,1318.8890000000001
14061,SQ35800,E. coli,2019-12-18 13:55:00,1986.0,1318.8890000000001
14146,SQ35871,E. coli,2018-02-20 11:24:00,1986.0,1393.239
14216,SQ35872,E. coli,2017-04-12 10:09:00,1553.0,926.77
14305,SQ35873,E. coli,2018-02-22 12:14:00,601.0,576.146
14373,SQ35874,E. coli,2017-01-19 09:19:00,2420.0,1357.5890000000002
14384,SQ35874,E. coli,2018-01-24 08:48:00,1414.0,1357.5890000000002
14450,SQ35875,E. coli,2017-01-19 10:14:00,1046.0,960.512
14462,SQ35875,E. coli,2018-02-22 11:37:00,1414.0,960.512
14514,SQ35876,E. coli,2015-10-22 08:00:00,461.0,379.806
14600,SQ35962,E. coli,2018-04-30 15:40:00,50.0,47.051
